Incident.day	Incident.month	Incident.year	Latitude	Longitude	Shark.common.name	Shark.scientific.name	Provoked.unprovoked	Victim.activity	Injury.location	Injury.description	Injury.severity\xca	Victim.gender	Victim.age	Time.of.incident
25	10	1911	-15.48333333	145.4	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male	23	
6	1	1912	-33.83333333	151.1666667	dusky shark	Carcharhinus obscurus	unprovoked	swimming	"leg, pelvic region"		major lacerations	male		
26	1	1912	-33.81666667	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male		
1	1	1912	-19.45	146.6	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male		
16	2	1912	-33.31666667	115.6333333	wobbegong	Orectolobidae	provoked	diving	other: uninjured			male		
9	2	1912	-37.58333333	140.3333333	white shark	Carcharodon carcharias	provoked	fishing	"arm, hand"		major lacerations	male		
19	2	1912	-33.91666667	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	"calf, foot"		major lacerations	male		1600
5	11	1912	-27.31666667	153.05	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male	35	1750
24	3	1913	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	head		minor lacerations	male		
2	5	1913	-29.4	153.3333333	bull shark	Carcharhinus leucas	provoked	fishing	leg		minor lacerations	male		
1	6	1913	-10.2	142.15			provoked	swimming	head		major lacerations	male		
21	11	1913	-27.31666667	153.05	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male	13	
29	12	1913	-35.05	138.45	white shark	Carcharodon carcharias	unprovoked	swimming	leg		minor lacerations	male		2030
20	1	1914	-33.85	151.15	bull shark	Carcharhinus leucas	unprovoked	unmotorised boating	other: uninjured			male		1800
11	1	1914	-27.31666667	153.05	wobbegong	Orectolobidae	unprovoked	swimming	leg		minor lacerations	female		1000
1	2	1914	-33.83333333	151.0666667	bull shark	Carcharhinus leucas	unprovoked	unmotorised boating	torso		abrasion	male	23	
4	2	1914	-35.23333333	136.9666667	wobbegong	Orectolobidae	provoked	spearfishing	foot		minor lacerations	male		
15	4	1914	-29.43333333	153.1833333	bull shark	Carcharhinus leucas	provoked	fishing	foot		minor lacerations	male		
10	6	1914	-37.95	145	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			male		
2	12	1914	-19.16666667	146.8333333			unprovoked	swimming	thigh		minor lacerations	male		
6	12	1914	-31.98333333	115.7333333	wobbegong	Orectolobidae	provoked		calf		minor lacerations	male		
1	1	1915	-33.83333333	151.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male		
6	2	1915	-27.26666667	153.2166667	wobbegong	Orectolobidae	unprovoked	unmotorised boating	foot		minor lacerations	male		
8	11	1915	-33.78333333	151.2833333	whaler shark	Carcharhinidae	unprovoked	swimming	"leg, foot"		major lacerations	male		
10	11	1915	-27.31666667	153.0666667	bull shark	Carcharhinus leucas	unprovoked	swimming	"arm, torso"		minor lacerations	male	8	
24	2	1916	-41.05	145.75	wobbegong	Orectolobidae	provoked	diving	other: uninjured			male		
19	3	1916	-33.76666667	151.2833333	white shark	Carcharodon carcharias	unprovoked	swimming	leg		minor lacerations	male		
10	11	1916	-19.23333333	146.8	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male	27	
9	11	1916	-19.23333333	146.8166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		1800
1	11	1916	-20	119.3666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
2	11	1916	-20	119.3333333	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
8	12	1916	-33.78333333	151.2166667	bull shark	Carcharhinus leucas	unprovoked	other: standing in water	"arm, torso"		major lacerations	male	41	
30	12	1916	-23.11666667	150.75	tiger shark	Galeocerdo cuvier	unprovoked	swimming	calf		major lacerations	male	26	
14	6	1917	-27.23333333	153.2166667	whaler shark	Carcharhinidae	provoked	fishing	leg		minor lacerations	male		
15	12	1917	-20.3	118.5833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	thigh		major lacerations	male		
15	1	1918	-32.66666667	152.15	wobbegong	Orectolobidae	provoked	fishing	"arm, hand"		major lacerations	male		
22	3	1918	-32.91666667	151.7833333	white shark	Carcharodon carcharias	unprovoked	swimming	"arm, hand"		major lacerations	male		1715
17	3	1918	-28.15	153.5166667	wobbegong	Orectolobidae	provoked	swimming	foot		minor lacerations	male		
17	3	1918	-28.15	153.1	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		
5	4	1918	-26.41666667	150.0666667	wobbegong	Orectolobidae	provoked	diving	other: uninjured			male		
9	4	1918	-33.86666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	other: uninjured			male	28	0900
19	9	1918	-19.25	146.8166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		
21	11	1918	-16.7	146.05	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male		1500
17	1	1919	-32.91666667	151.7833333	white shark	Carcharodon carcharias	unprovoked	swimming	"hand, torso, calf"		major lacerations	male	19	
9	1	1919	-33.83333333	151.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male	13	0730
5	1	1919	-19.45	146.6	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	38	
29	12	1919	-27.08333333	153.45	wobbegong	Orectolobidae	provoked	swimming	leg		minor lacerations	male		
8	12	1919	-30.91666667	153.0166667	bull shark	Carcharhinus leucas	unprovoked	swimming	"calf, foot"		major lacerations	male		
15	1	1920	-32.9	151.75	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	12	
24	2	1920	-33.33333333	151.5	wobbegong	Orectolobidae	provoked	spearfishing	other: uninjured			male		
8	3	1920	-19.25	146.8166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male	20	1900
1	7	1920	-20.9	151.7166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, shoulder, torso"		major lacerations	male		
1	11	1920	-32.2	152.55	wobbegong	Orectolobidae	provoked	snorkelling	"arm, hand"		minor lacerations	male		
29	11	1920	-35.01666667	117.3333333	wobbegong	Orectolobidae	unprovoked	other: standing in water	leg			male		2000
22	11	1920	-31.98333333	115.7333333	wobbegong	Orectolobidae	unprovoked	other: standing in water	"leg, hand"			male		
1	12	1920	-14.5	144.9166667			provoked	fishing	leg		minor lacerations	male		
1	12	1920	-28.8	153.2666667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male		
12	10	1921	-18.23333333	146.65	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male		
9	10	1921	-16.9	146.2333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		
27	11	1921	-27.43333333	153.15	bull shark	Carcharhinus leucas	unprovoked	swimming	other: body not recovered			male	8	
27	11	1921	-27.43333333	153.15	bull shark	Carcharhinus leucas	unprovoked	swimming	"leg, pelvic region"		minor lacerations	male		
11	12	1921	-23.38333333	150.55	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		minor lacerations	male		
12	1	1922	-32.85	151.8333333	white shark	Carcharodon carcharias	unprovoked	swimming	thigh		minor lacerations	male		
15	1	1922	-19.45	146.6	bull shark	Carcharhinus leucas	unprovoked	swimming			major lacerations	male	54	
4	2	1922	-33.91666667	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	arm		major lacerations	male	19	1530
2	3	1922	-33.91666667	151.25	white shark	Carcharodon carcharias	unprovoked	swimming	"hand, torso"		major lacerations	male	21	1100
5	12	1922	-25.53333333	152.7	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male		
27	1	1923	-31.96666667	115.7666667	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male	13	
7	1	1923	-32.93333333	151.75	white shark	Carcharodon carcharias	provoked	swimming	other: uninjured			male		
18	3	1923	-19.23333333	146.8166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male		
22	5	1923	-16.85	146.15	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male		
22	5	1923	-28.81666667	114.6166667	wobbegong	Orectolobidae	provoked	fishing	foot		other: teeth marks	male		
29	6	1923	-18.7	147.7666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling			major lacerations	male		
16	6	1923	-34.35	150.9166667	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			male	50	
16	10	1923	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	arm		major lacerations	male		
24	11	1923	-20	119.35	tiger shark	Galeocerdo cuvier	provoked		other: body not recovered		major lacerations	male		
24	11	1923	-20	119.35	tiger shark	Galeocerdo cuvier	provoked		other: half of body recovered		major lacerations	male		
11	12	1923	-28.31666667	153.4	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male		
19	1	1924	-33.8	151.0166667	bull shark	Carcharhinus leucas	unprovoked	swimming	"arm, torso, foot"		major lacerations	male		1600
9	2	1924	-33.31666667	115.6333333	wobbegong	Orectolobidae	unprovoked	swimming	foot		minor lacerations	male		
